--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þá	gengu	regin	öll	á	rökstóla	ginnheilög	goð	ok	um	það	gættuz	Nótt	ok	niðjum	nöfn	um	gáfu	morgin	hétu	ok	miðjan	dag	undorn	ok	aftan	árum	að	telja																	
Then	went	the ruling gods	all	on	thrones	the very holy	gods	and	about	that	they conferred	Night	and	relatives	names	 	(they) gave	morning	was it called	and	middle	day	dawn	and	evening	years	to	counting																	
Then	sought	the	gods	their	assembly-seats	The	holy	ones	and	council	held	Names	then	gave	they	to	noon	and	twilight	Morning	they	named	and	the	waning	moon	Night	and																	
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Hittuz	æsir	á	Iðavelli	þeir	er	hörg	ok	hof	hátimbruðu	afla	lögðu	auð	smíðuðu	tangir	skópu	ok	tól	gjörðu																											
Met	Æsir	on	Iðavöllur	they	when	shrines	and	temples	constructed	forges	set	ore	smithied	tongs	wrought	and	tools	made																											
At	Ithavoll	met	the	mighty	gods	Shrines	and	temples	they	timbered	high	Forges	they	set	and	they	smithied	ore																											
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Teflðu	í	túni	teitir	vóru	var	þeim	vettergis	vant	ór	gulli	unz	þrjár	kvómu	þursa	meyjar	ámáttkar	mjök	ór	jötunheimum																										
Chess they played	in	grass	glad	they were	it was	them	not at all	to be short of	of	gold	us	three	came	giant	women	arrogant	very	from	Jötunheim																										
In	their	dwellings	at	peace	they	played	at	tables	Of	gold	no	lack	did	the	gods	then	know	Till	thither																										
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þá	gengu	regin	öll	á	rökstóla	ginnheilög	goð	ok	um	það	gættuz	hverr	skyldi	dverga	dróttin	skepja	ór	Brimis	blóði	ok	ór	blám	leggjum																						
Then	went	the ruling gods	all	on	thrones	the very holy	gods	and	about	that	they conferred	who	should	dwarf	lord	create	from	Brimis's	blood	and	from	blue	legs																						
Then	sought	the	gods	their	assembly-seats	The	holy	ones	and	council	held	To	find	who	should	raise	the	race	of	dwarfs	Out	of	Brimir's																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þar	var	Mótsognir	mæztr	um	orðinn	dverga	allra	en	Durinn	annarr	þeir	mannlíkun	mörg	um	gjörðu	dvergar	ór	jörðu	sem	Durinn	sagði																								
There	was	Motsognir	the mightiest	 	become	of dwarfs	all	but	Durinn	second to him	they	man-forms	many	 	created	dwarfs	from	earth	as	Durinn	said																								
There	was	Motsognir	the	mightiest	made	Of	all	the	dwarfs	and	Durin	next	Many	a	likeness	of	men	they	made	The	dwarfs																								
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Nýi	ok	Niði	Norðri	ok	Suðri	Austri	ok	Vestri	Alþjófr	Dvalinn	Bífurr	Báfurr	Bömburr	Nóri	Án	ok	Ánarr	Ái	Mjöðvitnir																										
Nyi	and	Nithi	Nothri	and	Suthri	Austri	and	Vestri	Althjolf	Dvalin	Bif	Bafur	Bombur	Nori	An	and	Onar	Ai	Mjothvitnir																										
Nyi	and	Nithi	Northri	and	Suthri	Austri	and	Vestri	Althjof	Dvalin	Nar	and	Nain	Niping	Dain	Bifur	Bofur	Bombur	Nori																										
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Veigr	ok	Gandálfr	Vindálfr	Þráinn	Þekkr	ok	Þorinn	Þrór	Vitr	ok	Litr	Nár	ok	Nýráðr	nú	hefi	ek	dverga	Reginn	ok	Ráðsviðr	rétt	um	talða																					
Vigg	and	Gandalf	Vindalf	Thrain	Thekk	and	Thorin	Thror	Vit	and	Lit	Nyr	and	Nyrath	now	have	I	dwarfs	Reginn	and	Rathswith	rightly	 	counted																					
Vigg	and	Gandalf	Vindalf	Thrain	Thekk	and	Thorin	Thror	Vit	and	Lit	Nyr	and	Nyrath	now	have	I	told	Regin	and	Rathsvith	the	list	aright																					
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Fíli	Kíli	Fundinn	Náli	Hefti	Víli	Hanarr	Sví	Frár	Hornbori	Frægr	ok	Lóni	Aurvangr	Jari	Eikinskjaldi																														
Fili	Kili	Funin	Nali	Heptifili	Vili	Hannar	Svi	Frar	Hornbori	Frægr	and	Loni	Aurvang	Jari	Eikins																														
Fili	Kili	Fundin	Nali	Heptifili	Hannar	Sviur	Frar	Hornbori	Fræg	and	Loni	Aurvang	Jari	Eikinskjaldi	 																														
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Mál	er	dverga	í	Dvalins	liði	ljóna	kindum	til	Lofars	telja	þeir	er	sóttu	frá	salar	steini	aurvanga	sjöt	til	Jöruvalla																									
Time	is	of dwarfs	in	Dvalin's	throng	men	kind	to	Lofar	are listed	those	when	sought	from	Earth's	stone	of Aurvangar	lands	to	Joruvellir-fields																									
The	race	of	the	dwarfs	in	Dvalin's	throng	Down	to	Lofar	the	list	must	I	tell	The	rocks	they	left	and																									
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þar	var	Draupnir	ok	Dólgþrasir	Hár	Haugspori	Hlévangr	Glói	Skirfir	Virfir	Skáfiðr	Ái	Álfr	ok	Yngvi	Eikinskjaldi	Fjalarr	ok	Frosti	Finnr	ok	Ginnarr	það	mun	uppi	meðan	öld	lifir	langniðja	tal	Lofars	hafað													
There	was	Draupnir	and	Dolgthrasir	Hor	Haugspori	Hlevang	Gloin	Skrifir	Virfir	Skafith	Ai	Alf	and	Yngvi	Eikinskjaldi	Fjalar	and	Frosti	Finn	and	Ginnar	this	may	up	while	age (of mankind)	live	descendant	count	of Lofar	had													
There	were	Draupnir	and	Dolgthrasir	Hor	Haugspori	Hlevang	Gloin	Dori	Ori	Duf	Andvari	Skirfir	Virfir	Skafith	Ai	Alf	and	Yngvi	Eikinskjaldi	Fjalar	and	Frosti	Fith	and	Ginnar	So	for	all	time	shall	the													
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Unz	þrír	kvómu	ór	því	liði	öflgir	ok	ástgir	æsir	að	húsi	fundu	á	landi	lítt	megandi	Ask	ok	Emblu	örlöglausa	önd	þau	né	áttu	óð	þau	né	höfðu	lá	né	læti	né	litu	góða											
Until	three	came	from	those	people	strong	and	loving	mighty gods	at	house	found	on	Earth	less	of might	Ask	and	Embla	without fate	breath of life	they	neither	had	soul	they	neither	had	heat of life	neither	sound	neither	hue	goodly											
Then	from	the	throng	did	three	come	forth	From	the	home	of	the	gods	the	mighty	and	gracious	Two	without	fate	on	the	land	they	found	Ask	and	Embla	empty	of	might	 	 	 											
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Önd	gaf	Óðinn	óð	gaf	Hænir	lá	gaf	Lóðurr	ok	litu	góða																																		
breath of life	gave	Othin	soul	gave	Hönir	heat of life	gave	Lothur	and	hue	goodly																																		
Soul	gave	Othin	sense	gave	Hönir	heat	gave	Lothur	and	goodly	hue																																		
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Ask	veit	ek	standa	heitir	Yggdrasill	hár	baðmr	ausinn	hvítaauri	þaðan	koma	döggvar	þær	s	í	dala	falla	stendr	æ	yfir	grænn	Urðar	brunni																						
Ash-tree	know	I	remain	named	Yggdrasill	high	tree	drawn	whitegolden	thence	come	dews	those	which	in	dales	fall	stands	always	ever	green	Urth's	well																						
An	ash	I	know	Yggdrasil	its	name	With	water	white	is	the	great	tree	wet	Thence	come	the	dews	that	fall	in	the	dales																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þaðan	koma	meyjar	margs	vitandi	þrjár	ór	þeim	sæ	er	und	þolli	stendr	Urð	hétu	eina	aðra	Verðandi	skáru	á	skíði	Skuld	ina	þriðju																						
Thence	come	maidens	of much	wisdom	three	from	those	seas	that	under	the tree	stands	Urth	is called	one	other	Verthandi	they carved	on	(wooden) plates	Skuld	the	third																						
Thence	come	the	maidens	mighty	in	wisdom	Three	from	the	dwelling	down	neath	the	tree	Urth	is	one	named	Verthandi	the	next	On	the																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þær	lög	lögðu	þær	líf	kuru	alda	börnum	ör	seggja																																				
They	law	determined	they	life	decided	of men	born children	fate	of people																																				
Laws	they	made	there	and	life	allotted	To	the	sons																																				
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Það	man	hon	fólkvíg	fyrst	í	heimi	er	Gullveig	geirum	studdu	ok	í	höll	Hárs	hana	brenndu																													
That	remembers	she	manslaughter	first	in	the world	when	Gullveig	with spears	supported	and	in	the hall	of Hor	her	burned																													
The	war	I	remember	the	first	in	the	world	When	the	gods	with	spears	had	smitten	Gollveig																													
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þrysvar	brenndu	þrysvar	borna	oft	ósjaldan	þó	hon	enn	lifir																																				
Thrice	burned	thrice	born	oft	not seldom	though	she	still	lives																																				
Three	times	burned	and	three	times	born	Oft	and	again																																				
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Heiði	hana	hétu	hvar	s	til	húsa	kom	völu	velspá	vitti	hon	ganda	seið	hon	kunni	seið	hon	leikinn	æ	var	hon	angan	illrar	brúðar																					
Heith	she	was called	where	is	to	houses	came	witch	wide-seeing	cast	she	magic	spells	she	knew	of spells	she	thought	always	was	she	favorite	of evil	women																					
Heith	they	named	her	who	sought	their	home	The	wide-seeing	witch	in	magic	wise	Minds	she	bewitched	that	were	moved	by	her	magic	To	evil																					
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þá	gengu	regin	öll	á	rökstóla	ginnheilög	goð	ok	um	það	gættuz	hvárt	skyldu	æsir	afráð	gjalda	eða	skyldu	goðin	öll	gildi	eiga																							
Then	went	the gods	all	onto	the thrones	the very holy	gods	and	about	that	they conferred	whether	should	the gods	tribute	give	or	should	the gods	all	worship	receive																							
Then	sought	the	gods	their	assembly-seats	The	holy	ones	and	council	held	Whether	the	gods	should	tribute	give	Or	to	all	alike	should																							
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Fleygði	Óðinn	ok	í	fólk	um	skaut	það	var	enn	folkvíg	fyrst	í	heimi	brotinn	var	borðvegr	borgar	ása	knáttu	vanir	vígspá	völlu	sporna																						
Hurled	Othin	and	into	the people	 	shot	that	was	yet	people's (war)	first	in	the world	broken	was	wooden wall	of the city	of the holy gods	could	Vanir	warspelled	fields	trod																						
On	the	host	his	spear	did	Othin	hurl	Then	in	the	world	did	war	first	come	The	wall	that	girdled	the	gods	was	broken																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þá	gengu	regin	öll	á	rökstóla	ginnheilög	goð	ok	um	það	gættuz	hverir	hefði	loft	allt	lævi	blandið	eða	ætt	jötuns	Óðs	mey	gefna																						
Then	went	the gods	all	onto	the thrones	the very holy	gods	and	about	that	they conferred	who	had	air / atmosphere 	all	deceit	blended with	or	to the kin	of the giants	Oth's	wife	given																						
Then	sought	the	gods	their	assembly-seats	The	holy	ones	and	council	held	To	find	who	with	venom	the	air	had	filled	Or	had	given																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þórr	einn	þar	var	þrunginn	móði	hann	sjaldan	sitr	er	hann	slíkt	um	fregn	á	genguz	eiðar	orð	ok	særi	mál	öll	meginlig	er	á	meðal	fóru																			
Thor	alone	there	was	swollen	with anger	he	seldom	sits	when	he	such	 	hears	on	loosened	oaths	words	and	bonds	pledges	all	most important	which	in	between them	had been made																			
In	swelling	rage	then	rose	up	Thor	Seldom	he	sits	when	he	such	things	hears	And	the	oaths	were	broken	the	words	and	bonds	The	mighty	pledges																			
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Veit	hon	Heimdalar	hljóð	um	fólgið	undir	heiðvönum	helgum	baðmi	á	sér	hon	ausaz	aurgum	forsi	af	veði	Valföðrs	vituð	ér	enn	eða	hvað																						
Knows	she	of Heimdall	horn	 	hidden	under	high-reaching	holy	tree	on	it	she	saw	muddy	waterfall	of	pledge	Valfather's	know	you	yet more	or	what																						
I	know	of	the	horn	of	Heimdall	hidden	Under	the	high-reaching	holy	tree	On	it	there	pours	from	Valfather's	pledge	A	mighty	stream	would																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Ein	sat	hon	úti	þá	er	inn	aldni	kom	yggjungr	ása	ok	í	augu	leit	Hvers	fregnið	mik	Hví	freistið	mín	Allt	veit	ek	Óðinn	hvar	þú	auga	falt	Í	inum	mæra	Mímis	brunni	Drekkr	mjöð	Mímir	morgin	hverjan	af	veði	Valföðrs	vituð	ér	enn	hvað
Alone	sat	she	outside	then	when	inside	the old one	came	the one who causes frightfulness	of the holy gods	and	in	the eyes	searched	What	do you ask	me	Why	are you tempting	me	All	know	I	Othin	where	you	eye	hid	in	the	great	Mimir's	well	Drinking does	holy water	Mimir	morning	each	of	the pledge	Valfather´s	know	you	yet want more	or what
Alone	I	sat	when	the	Old	One	sought	me	The	terror	of	gods	and	gazed	in	mine	eyes	What	hast	thou	to	ask	why	comest	thou	hither	Othin	I	know	where	thine	eye	is	hidden	Deep	in	the	wide-famed	well	of	Mimir	Mead	from	the	pledge
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Valði	henni	Herföðr	hringa	ok	men	féspjöll	spaklig	ok	spáganda	sá	hon	vítt	ok	um	vítt	of	veröld	hverja																											
Chose 	her	Warfather	rings	and	necklaces	precious wisdom	wise	and	foretelling spells	saw	she	far	and	of	wide	over	world	each																											
Necklaces	had	I	and	rings	from	Heerfather	Wise	was	my	speech	and	my	magic	wisdom	Widely	I	saw	over																											
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Sá	hon	valkyrjur	vítt	um	komnar	görvar	að	ríða	til	goðþjóðar	Skuld	helt	skildi	en	Skögul	önnur	Gunnr	Hildr	Göndul	ok	Geirskögul	Nú	eru	talðar	nönnur	Herjans	görvar	að	ríða	grund	valkyrjur														
Saw	she	Valkyries	from far	to	come	ready	to	ride	to	the god nation	Skuld	bore	shield	and	Skogul	the other	Gunnr	Hildr	Gondul	and	Geirskogul	Now	are	counted	maidens	Herjan's	ready	to	ride	the land	valkyries														
On	all	sides	saw	I	Valkyries	assemble	Ready	to	ride	to	the	ranks	of	the	gods	Skuld	bore	the	shield	and	Skogul	rode	next	Guth	Hild	Gondul	and	Geirskogul	Of	Herjan's	maidens														
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Ek	sá	Baldri	blóðgum	tívur	Óðins	barni	örlög	fólgin	stóð	um	vaxinn	völlum	hæri	mjór	ok	mjök	fagr	mistilteinn																											
I	saw	Baldr	bloodied	god	Othin's	child	fate	unfolded	stood	 	full grown	fields	higher	slender	and	very	beautiful	mistletoe																											
I	saw	for	Baldr	the	bleeding	god	The	son	of	Othin	his	destiny	set	Famous	and	fair	in	the																											
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Varð	af	þeim	meiði	er	mær	sýndiz	harmflaug	hættlig	Höðr	nam	skjóta	Baldrs	bróðir	var	of	borinn	snemma	sá	nam	Óðins	sonr	einnættr	vega																						
was	of	that	kind	when	slender	seems	harmful dart	dangerous	Hoth	took	to shoot	Baldr's	brother	was	too	born	early	that one	learned	Othin's	son	of one night	to kill																						
From	the	branch	which	seemed	so	slender	and	fair	Came	a	harmful	shaft	that	Hoth	should	hurl	But	the	brother	of	Baldr	was	born																						
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Þó	hann	æva	hendr	né	höfuð	kembði	áðr	á	bál	um	bar	Baldrs	andskota	en	Frigg	um	grét	í	Fensölum	vá	Valhallar	vituð	ér	enn	eða	hvað																			
Washed	he	not	hands	neither	head	combed	before	on	pyre	 	carried	Baldr's	foe	but	Frigg	 	weeped	in	Fensalir	the peril	of Valhalla	know	you	yet more	or	what																			
His	hands	he	washed	not	his	hair	he	combed	not	Till	he	bore	to	the	bale-blaze	Baldr's	foe	But	in	Fensalir	did	Frigg	weep	sore	For	Valhall's																			
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Haft	sá	hon	liggja	undir	hvera	lundi	lægjarns	líki	Loka	áþekkjan	þar	sitr	Sigyn	þeygi	um	sínum	ver	velglýjuð	vituð	þér	enn	hvað																							
A prisoner	saw	she	lying	under	hot springs	grove	devious	likeness of	Loki	resembling	there	sits	Sigyn	not	by	her 	husband	very glad	know	you	yet more	or what																							
One	did	I	see	in	the	wet	woods	bound	A	lover	of	ill	and	to	Loki	like	By	his	side	does	Sigyn	sit																							
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Á	fellr	austan	um	eitrdala	söxum	ok	sverðum	Slíðr	heitir	sú	Stóð	fyr	norðan	á	Niðavöllum	salr	ór	gulli	Sindra	ættar	en	annarr	stóð	á	Ókólni	bjórsalr	jötuns	en	sá	Brimir	heitir														
A river	flows	from the east	through	poisoned vales	with daggers	and	with swords	Sheath	is called	she	Stood	in the	North	in	Nith's fields	a hall	of	gold	of Sindri's	kin	and	the other	stood	on	the never-cooling place	beer hall	of a giant	and	he	Brimir	is called														
From	the	east	there	pours	through	poisoned	vales	With	swords	and	daggers	the	river	Slith	Northward	a	hall	in	Nithavellir	Of	gold	there	rose	for	Sindri's	race	And	in	Okolnir	another	stood														
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Sal	sá	hon	standa	sólu	fjarri	Náströndu	á	norðr	horfa	dyrr	fellu	eitrdropar	inn	um	ljóra	sá	er	undinn	salr	orma	hryggjum																								
A hall	saw	she	standing	sun	faraway	in the Nastrond	on	to the north	face	the doors	fell down	the venom drops	inside	through	a smoke-vent	that one	is	wound about	hall	of serpents	spines																								
A	hall	I	saw	far	from	the	sun	On	Nastrond	it	stands	and	the	doors	face	north	Venom	drops	through	the	smoke-vent																								
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Sá	hon	þar	vaða	þunga	strauma	menn	meinsvara	ok	morðvarga	ok	þann	z	annars	glepr	eyrarúnu	þar	saug	Níðhöggr	nái	framgengna	sleit	vargr	vera	vituð	er	enn	eða	hvað																	
saw	she	there	wading	through heavy	streams	men	treacherous	and	murderers	and	the one	who is	otherwise	desiring	a mistress	there	sucked	Nithhogg	corpses	the departed	tear	beast, i.e. níðhöggr	men	know	you	yet more	or	what																	
I	saw	there	wading	through	rivers	wild	Treacherous	men	and	murderers	too	And	workers	of	ill	with	the	wives	of	men	There	Nithhogg	sucked	the	blood	of	the	slain																	
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Austr	sat	in	aldna	í	Járnviði	ok	fæddi	þar	Fenris	kindir	verðr	af	þeim	öllum	einna	nokkurr	tungls	tjúgari	í	trollz	hami																								
In the east	sat	the	old one	in	Ironwood	and	bore	there	Fenrir's	kin	will become	of	them	all	one	a certain one	of moon	tearer	in	troll's	skin																								
The	giantess	old	in	Ironwood	sat	In	the	east	and	bore	the	brood	of	Fenrir	Among	these	one	in	monster's	guise	Was																								
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Fylliz	fjör	vi	feigra	manna	rýðr	ragna	sjöt	rauðum	dreyra	svart	var	þá	sólskin	of	sumur	eftir	veðr	öll	válynd	vituð	ér	hvað																							
Becomes full of	vitality	 	of dying	men	reddens	gods	place of dwelling	of red	blood	blackened	was	then	sun	of	the summer	that followed	became	all	dangerous	know	you	what																							
There	feeds	he	full	on	the	flesh	of	the	dead	And	the	home	of	the	gods	he	reddens	with	gore	Dark	grows	the																							
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Sat	þar	á	haugi	ok	sló	hörpu	gýgjar	hirðir	glaðr	Eggþér	gól	um	hánum	í	gaglviði	fagrrauðr	hani	sá	er	Fjalarr	heitir																								
Sat	there	on	a grave	and	played	the harp	the giantress's	ward	joyous	Eggther	crowed	 	him	in	a bird-wood	beautifully red	cock	such	that	Fjalarr	is named																								
